DATA,DATA,ESTADO,CIDADE,CONFIRMADOS,FATAIS
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,FERRAZ DE VASCONCELOS,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,MAUÁ,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,SANTO ANDRÉ,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,SÃO BERNARDO DO CAMPO,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,SÃO CAETANO DO SUL,1,0
2020-03-16 00:00:00,2020-03-16 00:00:00,SP,SÃO PAULO,145,0
2020-03-17 00:00:00,2020-03-17 00:00:00,AC,RIO BRANCO,3,0
2020-03-17 00:00:00,2020-03-17 00:00:00,AL,MACEIÓ,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,AM,MANAUS,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,BA,FEIRA DE SANTANA,5,0
2020-03-17 00:00:00,2020-03-17 00:00:00,BA,PORTO SEGURO,3,0
2020-03-17 00:00:00,2020-03-17 00:00:00,BA,PRADO,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,BA,SALVADOR,5,0
2020-03-17 00:00:00,2020-03-17 00:00:00,CE,AQUIRAZ,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,CE,FORTALEZA,9,0
2020-03-17 00:00:00,2020-03-17 00:00:00,DF,BRASÍLIA,22,0
2020-03-17 00:00:00,2020-03-17 00:00:00,ES,INDEFINIDA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,GO,ANÁPOLIS,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,GO,GOIÂNIA,5,0
2020-03-17 00:00:00,2020-03-17 00:00:00,GO,RIO VERDE,3,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,BELO HORIZONTE,5,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,CORONEL FABRICIANO,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,IPATINGA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,JUIZ DE FORA,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,NOVA LIMA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,PATROCÍNIO,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,SETE LAGOAS,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MG,UBERLÂNDIA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,MS,CAMPO GRANDE,6,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PE,BELO JARDIM,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PE,INDEFINIDA,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PE,JABOATÃO DOS GUARARAPES,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PE,RECIFE,13,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PR,CAMPO LARGO,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PR,CIANORTE,2,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PR,CURITIBA,7,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PR,LONDRINA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,PR,PINHAIS,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RJ,BARRA MANSA,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RJ,INDEFINIDA,8,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RJ,NITERÓI,1,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RJ,RIO DE JANEIRO,23,0
2020-03-17 00:00:00,2020-03-17 00:00:00,RN,NATAL,1,0
